sleep,class,study,activity,happiness,performance
2,14,8,7,7,2
14,2,14,7,7,67
18,15,11,7,4,4
7,6,4,5,1,28
14,8,11,6,3,6
3,10,2,4,6,27
13,1,6,10,10,31
15,14,8,5,1,44
7,7,9,4,8,32
5,5,10,8,9,66
6,1,5,6,9,30
13,4,8,9,6,29
16,12,13,9,7,50
7,13,15,10,6,44
6,14,14,4,6,94
6,8,8,5,9,2
3,8,15,3,2,82
18,15,15,10,7,90
12,6,6,7,9,94
7,2,7,10,9,21
7,8,3,9,3,51
11,12,15,2,3,25
4,12,4,5,3,42
1,13,13,4,4,22
16,1,12,10,8,29
9,9,5,10,3,33
15,6,11,9,2,26
9,9,5,6,3,83
3,15,10,9,0,56
3,15,10,5,5,14
10,4,6,6,8,32
8,14,11,4,3,73
9,13,2,5,5,51
15,3,13,10,4,73
7,9,4,4,5,46
1,7,3,4,8,32
17,13,11,7,9,33
5,12,5,7,5,69
7,13,14,10,2,10
4,14,5,7,1,48
18,5,13,9,10,46
8,6,4,4,9,43
1,12,5,4,7,70
17,8,6,1,1,79
5,11,8,3,2,61
5,13,1,1,5,7
10,4,12,4,5,35
7,1,9,3,1,77
14,13,8,1,9,45
2,10,6,3,5,84
4,9,1,2,5,81
3,8,1,4,5,78
11,14,13,6,1,16
18,8,13,8,6,17
19,14,6,1,4,94
5,11,1,6,9,67
15,5,1,10,10,83
10,2,8,2,7,62
14,6,5,9,5,72
6,12,15,3,1,3
10,12,10,10,10,21
14,8,10,7,8,100
3,15,4,5,0,35
15,9,15,3,5,71
2,9,8,1,10,4
17,15,3,4,9,74
2,1,11,7,1,95
16,11,1,3,6,16
7,5,7,8,6,48
17,13,3,1,2,8
5,8,6,10,8,28
18,13,14,5,3,71
18,15,10,6,0,81
14,14,4,1,2,34
13,11,5,10,1,25
13,2,10,6,1,37
12,13,10,8,10,55
1,2,8,6,0,29
9,12,4,3,8,69
4,9,6,4,6,5
8,8,15,7,2,97
17,2,9,8,3,31
9,14,11,1,1,78
9,8,13,5,9,67
19,7,13,10,6,49
7,12,12,2,5,23
19,14,8,8,8,41
8,4,2,7,1,44
11,4,5,8,7,12
2,9,9,7,1,46
17,11,8,7,0,7
1,13,1,5,9,94
1,9,4,6,2,95
18,5,8,6,2,95
6,2,6,7,4,85
4,9,1,8,6,52
7,2,8,7,3,33
13,9,8,1,2,17
4,12,12,5,2,9
17,2,2,1,2,93
11,10,14,6,1,69
3,11,2,3,9,66
19,12,6,9,10,90
7,6,1,2,8,94
11,10,1,5,9,95
4,3,13,6,5,85
10,3,5,10,10,72
16,4,4,1,3,63
19,9,8,8,10,76
1,2,7,10,4,97
11,12,6,3,6,35
9,7,14,8,3,37
5,15,14,3,7,14
7,10,9,2,3,63
19,7,10,5,7,60
17,1,13,2,6,28
17,12,5,5,5,89
1,2,12,3,0,37
18,15,1,2,1,37
8,4,3,3,3,75
17,7,6,10,9,90
4,7,14,9,3,58
7,6,11,5,3,84
10,8,7,10,8,55
16,4,8,2,4,25
2,8,4,1,8,37
11,2,3,4,2,16
13,13,7,9,5,17
17,3,15,6,2,97
19,4,14,6,8,51
13,12,11,5,8,95
1,5,11,4,10,58
10,4,2,4,2,54
2,1,11,9,0,2
19,1,13,6,0,90
2,3,8,7,6,51
2,10,2,5,2,72
13,15,2,9,2,51
3,7,14,2,6,33
2,6,6,6,4,21
13,4,11,2,5,97
11,11,3,6,10,83
9,15,13,10,6,94
1,12,6,4,8,75
4,11,2,10,7,28
14,14,13,8,10,98
15,5,8,6,2,82
8,2,11,3,9,43
11,1,2,8,1,35
6,6,10,9,0,88
16,3,7,1,3,87
19,15,3,2,10,28
15,5,14,9,8,80
1,5,1,7,9,92
17,8,10,8,3,28
3,10,5,5,7,73
11,2,15,10,10,29
1,10,10,1,1,48
12,6,6,6,10,80
10,7,4,7,10,57
6,14,1,1,6,84
4,1,10,4,5,47
11,8,15,4,8,13
9,13,3,8,1,99
15,10,3,4,4,48
15,13,1,1,4,46
19,10,11,7,7,63
19,13,12,9,9,23
10,4,8,6,7,97
12,5,6,4,2,12
17,11,11,10,1,52
14,15,8,10,0,70
4,7,13,1,1,76
12,13,5,4,1,37
17,1,15,2,3,56
8,13,7,3,8,11
6,7,9,1,6,57
5,15,5,2,9,80
7,10,9,4,2,11
11,7,10,1,10,12
16,10,3,8,5,84
12,5,5,10,7,58
11,15,6,5,8,50
16,4,14,1,7,46
19,12,9,5,6,74
9,9,9,3,8,44
11,15,13,4,9,70
16,13,15,10,8,3
2,2,2,8,0,67
2,6,3,7,4,65
7,1,2,4,4,7
17,14,12,5,7,49
1,14,7,5,6,32
1,9,4,9,6,30
4,15,6,7,7,9
16,13,7,2,1,53
18,3,3,2,7,88
18,9,11,2,8,59
5,13,6,3,4,15
10,9,5,7,4,44
15,15,9,6,0,28
18,9,6,3,4,25
13,6,5,8,5,62
17,1,11,6,0,87
18,4,12,7,7,18
18,8,13,7,8,9
9,9,12,5,5,87
6,9,13,5,3,12
18,13,5,2,9,84
11,1,6,3,8,23
12,8,5,3,0,66
16,8,15,6,10,17
2,1,2,2,9,87
16,8,5,7,9,4
19,2,1,6,4,13
3,4,3,2,7,33
11,13,14,7,3,49
19,4,2,6,0,43
2,5,14,6,8,9
16,8,14,1,0,10
7,11,8,3,9,40
11,9,5,4,2,64
17,2,12,1,5,70
17,2,13,3,4,65
17,6,13,3,3,69
15,1,15,5,10,94
18,3,6,2,9,47
9,2,7,1,5,23
18,11,2,2,6,62
11,5,11,9,2,48
3,6,15,4,2,36
19,8,8,8,1,97
4,2,13,7,6,66
6,14,11,3,5,18
1,14,1,8,5,31
5,2,14,6,8,33
12,15,15,1,8,71
3,7,9,9,5,86
7,13,9,9,8,34
12,6,7,9,1,30
10,13,1,8,8,98
11,7,11,4,10,20
1,11,14,7,1,5
8,1,1,10,10,67
13,4,8,6,2,49
17,10,3,6,3,41
11,12,15,4,5,26
13,3,3,2,6,50
3,3,4,8,0,9
19,6,1,1,3,31
1,10,3,8,9,85
1,2,8,3,6,69
6,14,5,3,10,3
6,5,6,2,9,21
4,3,4,9,5,31
3,14,7,5,9,2
2,1,15,3,0,48
15,13,11,6,6,95
11,12,4,4,3,61
14,2,11,8,10,90
17,8,10,1,1,73
15,10,3,1,0,24
15,15,14,2,10,65
18,2,5,7,10,46
15,13,13,7,0,68
18,11,12,7,2,5
3,12,2,5,9,34
18,9,10,10,1,54
5,4,4,5,8,39
18,14,4,5,1,16
8,2,4,9,7,47
2,13,13,10,7,10
3,2,4,9,4,20
11,5,5,8,3,22
4,5,11,2,0,49
19,13,1,8,0,18
13,2,13,9,2,47
13,9,9,3,10,40
1,10,11,2,10,94
2,12,6,4,7,4
2,8,10,9,4,7
1,11,15,9,6,32
12,4,13,7,1,14
14,3,6,8,8,5
18,11,8,5,9,27
8,14,12,10,9,66
18,7,13,8,0,83
10,11,11,3,3,2
3,11,3,3,6,75
13,10,8,1,7,90
11,13,14,5,5,53
10,4,13,7,2,90
14,2,10,1,6,11
5,8,15,5,6,57
2,14,12,6,9,19
19,1,4,9,8,91
4,13,3,4,2,84
5,7,9,3,5,64
17,1,8,2,4,67
12,7,9,1,2,23
10,15,6,9,5,64
10,7,8,3,0,90
14,4,1,9,0,4
17,6,3,4,9,18
6,12,4,5,10,70
3,15,4,7,8,17
18,12,8,6,2,67
16,10,5,1,0,30
17,5,6,5,5,57
9,5,10,1,2,85
4,3,5,7,3,7
11,2,10,2,10,53
19,6,12,9,9,45
9,11,7,2,6,63
16,7,12,7,9,49
6,2,9,1,9,36
14,6,8,1,8,99
5,9,6,4,2,60
4,9,6,2,8,64
1,9,5,1,3,3
12,11,10,5,8,22
5,2,11,8,10,38
16,5,8,3,2,76
18,13,13,9,1,87
17,9,10,3,10,65
13,6,5,4,2,75
15,7,3,8,0,2
11,15,8,1,2,56
19,6,6,5,10,88
14,8,6,9,2,87
5,13,4,5,5,77
6,10,10,4,0,74
2,10,10,6,7,86
17,7,4,10,2,65
9,5,2,6,9,64
3,14,8,3,3,54
1,14,10,2,7,50
4,1,15,8,9,40
12,7,12,8,4,51
10,1,6,7,2,16
15,2,6,9,7,65
10,10,12,4,2,87
15,7,12,7,9,47
16,8,14,10,0,29
2,1,12,9,1,12
14,7,11,1,4,57
19,10,14,6,6,29
15,11,13,6,1,78
18,1,13,3,6,68
4,9,6,10,5,11
18,14,3,1,10,88
17,9,4,9,8,5
14,8,9,1,3,42
18,11,10,4,9,20
11,9,14,4,2,34
19,14,13,8,8,73
15,10,10,10,9,38
4,4,14,2,4,34
19,3,8,4,5,52
18,11,11,8,4,75
6,13,3,5,8,50
19,2,9,1,0,84
15,12,3,7,3,10
19,5,4,1,9,55
16,4,9,4,4,14
12,15,7,6,8,76
4,12,11,7,6,26
8,1,1,10,2,9
3,2,2,1,4,44
12,14,9,6,2,23
9,6,1,5,0,100
11,14,14,2,5,55
2,1,6,5,1,52
18,10,14,8,0,100
4,7,5,8,4,64
8,14,3,1,8,39
11,4,12,6,0,25
7,8,10,8,1,10
16,9,11,10,4,36
9,3,3,2,0,8
8,8,7,9,2,55
10,1,6,7,8,76
16,10,10,6,6,42
7,3,4,8,0,43
14,15,9,3,2,47
1,8,9,6,9,38
9,10,12,4,1,12
3,9,4,6,6,20
4,8,12,7,8,89
6,1,15,10,6,31
16,10,5,9,1,2
17,9,7,9,7,31
18,6,4,4,8,91
3,7,4,1,4,48
4,6,3,10,2,64
15,14,8,5,8,83
19,11,14,9,10,94
8,13,14,3,1,36
12,6,3,6,0,5
2,12,14,4,2,84
8,13,10,10,5,63
5,15,8,6,3,7
13,6,3,9,6,43
13,2,15,5,5,71
14,14,10,9,0,16
11,11,13,9,2,39
3,1,12,5,10,4
17,10,3,4,2,66
7,4,12,3,10,48
13,7,5,1,10,59
17,13,12,2,1,29
9,12,1,5,9,68
9,9,6,7,0,98
9,5,13,2,9,73
15,4,7,9,3,71
16,7,7,3,10,42
10,1,3,5,1,94
7,15,3,9,2,87
8,7,6,1,2,3
3,6,14,4,3,56
5,7,11,10,0,74
12,6,2,8,2,45
11,6,10,3,10,37
1,2,1,4,9,80
7,3,6,8,8,37
3,2,15,10,9,28
19,5,15,2,8,50
16,3,4,4,6,27
17,5,6,8,2,28
14,6,1,4,5,83
19,4,11,6,5,70
12,10,9,1,6,21
17,8,7,7,7,73
19,4,3,4,5,32
14,4,2,3,0,67
9,15,10,6,8,75
14,1,4,2,10,21
1,13,2,5,9,31
8,6,2,8,2,72
13,5,8,10,5,80
6,2,5,1,0,26
5,14,13,4,7,63
6,2,14,2,5,59
5,8,6,3,7,54
4,8,11,6,2,10
18,9,2,5,8,47
9,9,15,6,7,25
12,9,5,4,0,12
3,1,14,5,2,38
4,9,12,4,5,1
18,11,12,8,2,54
19,9,4,4,0,18
11,9,5,9,4,10
5,11,3,3,3,95
18,10,2,10,3,14
15,4,1,9,2,24
18,6,5,9,3,29
17,1,6,4,10,39
6,13,6,7,3,94
13,9,4,7,9,69
4,9,15,9,6,40
3,15,3,2,1,7
18,5,8,1,6,47
3,8,14,4,3,19
10,6,10,10,3,99
7,8,14,1,4,98
4,12,5,4,5,64
13,14,8,5,7,21
6,6,2,2,9,17
8,13,10,8,1,73
4,12,8,8,8,80
7,8,2,8,1,45
15,11,9,5,6,48
14,11,11,2,9,59
8,14,7,3,0,24
6,8,9,6,8,22
19,6,4,7,1,68
4,15,7,8,0,87
10,6,14,1,5,3
13,15,3,2,6,48
5,2,15,3,1,19
19,15,2,10,5,13
16,7,4,5,9,74
13,13,5,4,6,40
3,13,3,6,0,37
9,8,2,7,0,85
8,13,8,8,2,70
4,5,12,5,6,95
8,3,3,4,4,78
5,7,8,2,2,96
13,1,14,4,6,69
7,14,7,7,3,43
18,7,6,3,4,6
8,14,8,9,8,34
16,2,7,1,1,62
8,11,14,2,6,24
6,15,12,7,6,73
14,11,13,4,7,72
6,2,4,10,5,24
18,15,10,4,5,73
18,12,5,5,4,64
14,8,2,4,2,28
13,7,7,2,9,57
8,10,9,8,2,95
4,5,12,9,0,28
9,9,8,10,7,23
5,11,2,9,0,61
14,3,15,4,1,11
13,8,11,5,9,8
3,15,14,3,6,5
7,15,3,2,10,80
19,5,4,3,8,13
2,6,12,3,6,58
18,11,12,5,8,71
14,8,11,3,5,35
5,9,4,10,7,28
1,10,14,10,2,10
4,15,5,3,3,9
2,15,7,8,2,40
7,9,9,8,9,31
6,1,8,6,7,9
17,5,13,7,3,95
8,3,6,8,7,17
17,5,7,2,6,49
4,3,9,1,9,40
8,9,6,5,9,12
6,1,10,9,2,79
7,14,3,1,3,57
1,13,7,1,10,2
5,5,6,4,3,18
15,12,4,4,5,15
1,7,8,4,7,31
11,14,15,8,8,32
13,13,6,4,8,79
17,9,1,6,5,65
6,5,14,1,10,9
15,4,7,1,1,74
13,1,8,9,5,32
5,7,7,4,8,35
16,1,15,6,8,64
12,15,2,9,1,36
2,7,11,3,9,20
12,11,6,3,10,49
1,7,10,2,4,91
8,5,13,2,6,2
5,6,12,8,9,77
5,3,7,5,0,11
5,5,13,4,7,89
2,15,1,9,7,21
13,8,2,8,7,64
18,14,2,10,8,78
1,7,13,10,8,21
18,1,12,3,6,72
13,10,13,4,8,64
8,12,13,7,6,70
3,12,4,4,3,18
1,9,8,7,1,72
16,3,2,3,0,9
2,10,13,8,0,20
3,9,7,2,1,36
15,13,7,2,8,75
9,4,15,4,5,57
14,8,3,1,8,32
13,6,11,2,9,40
2,10,9,5,7,98
1,12,4,7,4,53
11,15,1,1,0,19
9,15,10,6,6,61
3,6,9,6,7,92
15,4,11,3,10,90
18,12,13,5,10,85
19,3,15,4,2,43
8,3,15,2,0,50
17,14,8,6,10,15
12,4,12,1,6,82
11,10,10,7,1,95
3,7,10,9,2,80
1,4,2,6,8,11
17,7,9,3,5,43
12,10,10,7,7,27
5,1,10,8,4,46
1,14,7,6,3,1
4,8,5,2,6,90
14,6,12,5,1,11
16,3,4,10,5,25
13,11,5,9,7,16
16,6,11,1,4,20
9,14,7,8,3,66
9,8,6,1,4,47
10,1,6,8,4,18
17,5,2,9,10,57
8,10,10,7,1,12
17,5,12,2,9,31
14,10,15,3,2,11
13,6,15,4,10,77
12,15,1,8,5,18
19,15,12,9,4,97
4,8,6,7,8,76
8,10,1,5,9,28
9,9,5,4,10,61
10,13,12,6,2,69
12,5,1,2,6,71
1,3,2,4,9,73
9,5,13,3,7,13
7,2,10,4,7,4
2,9,5,6,8,9
4,4,11,9,10,80
6,4,12,7,9,69
13,6,12,8,10,54
8,12,13,6,1,51
14,15,9,7,2,62
15,10,12,5,7,35
17,11,6,9,10,52
9,12,9,10,1,94
17,3,12,2,0,33
2,10,3,5,4,35
11,10,13,9,5,8
11,10,1,3,6,73
17,13,13,10,5,9
2,1,8,3,5,75
12,10,5,8,6,74
15,2,13,5,3,68
11,1,1,3,10,65
17,14,3,6,5,90
7,8,9,2,0,75
17,14,6,1,10,84
1,13,9,10,5,69
19,10,9,3,9,20
10,4,3,10,4,13
12,1,1,8,8,26
16,4,9,10,9,15
10,5,13,9,5,87
19,9,6,3,0,5
17,4,7,5,1,99
11,4,8,10,7,28
19,4,11,9,3,53
14,2,7,4,2,2
17,10,14,5,3,30
1,5,4,2,3,9
17,9,2,3,5,90
10,6,8,10,9,95
16,8,13,7,6,42
9,5,14,2,8,65
7,1,7,10,10,98
16,14,5,5,4,81
13,8,2,7,5,98
12,6,13,7,9,84
19,10,12,7,9,7
7,12,15,3,1,33
9,11,13,10,9,88
9,9,5,5,8,34
18,5,8,7,9,94
7,13,8,6,3,16
3,9,11,6,3,82
2,15,10,10,8,39
11,11,5,9,1,27
16,13,2,2,8,93
9,7,8,9,4,55
1,15,12,4,6,29
16,14,4,6,10,83
5,10,10,5,9,83
15,14,4,2,4,76
9,3,5,5,2,5
6,3,4,2,8,16
16,9,7,4,6,9
11,4,7,7,4,84
18,6,11,6,5,88
19,2,13,4,5,67
11,12,4,4,10,90
17,5,11,2,8,85
2,6,7,4,9,93
8,11,7,3,3,78
3,12,2,3,2,79
17,9,10,4,8,64
10,10,15,2,4,98
19,10,10,3,1,29
14,15,9,2,5,96
1,11,15,4,5,38
8,3,8,6,2,3
16,1,7,3,6,10
16,2,4,10,2,30
5,8,12,7,10,64
12,6,8,2,2,11
12,14,2,6,8,68
15,15,15,3,1,6
12,10,5,9,9,4
5,7,3,10,7,59
19,4,9,2,5,23
8,5,12,5,7,18
6,5,4,8,9,44
2,10,11,4,0,39
9,5,15,8,2,66
10,7,1,9,8,67
3,5,6,3,2,51
15,3,5,6,2,70
5,3,4,10,1,86
8,12,5,9,5,52
13,1,12,1,8,36
1,2,9,1,10,3
2,6,3,3,6,3
17,12,9,7,1,28
4,4,9,8,7,13
12,14,9,3,4,37
6,11,5,7,6,4
4,7,7,7,0,21
15,12,6,5,10,69
9,3,5,5,3,40
13,14,7,1,6,47
16,10,8,2,3,50
12,13,2,2,4,86
5,1,2,2,1,46
11,2,11,8,4,52
2,6,6,6,5,79
3,4,15,3,0,92
19,1,8,2,9,38
2,2,10,5,6,35
5,10,1,1,3,43
1,12,14,2,10,85
11,8,15,9,0,39
5,9,3,3,3,95
2,15,10,10,8,44
5,8,9,8,6,88
7,12,14,6,7,72
9,6,15,9,7,29
9,2,12,1,4,43
16,6,15,6,10,77
14,10,11,6,0,22
17,5,6,3,4,18
6,15,1,6,0,35
19,12,15,6,7,8
10,15,13,8,4,47
8,12,2,4,7,4
12,10,14,3,10,26
3,7,6,9,4,89
10,4,10,6,6,11
10,3,13,10,0,60
18,5,15,5,7,28
14,7,15,3,7,94
15,6,2,10,6,67
12,13,11,8,1,39
10,1,14,9,6,81
13,15,1,2,0,64
13,11,14,3,2,82
8,5,5,6,6,46
9,1,15,7,4,31
4,7,15,9,9,53
15,12,14,9,7,22
19,5,15,10,2,80
1,14,11,6,2,52
9,9,13,5,2,4
6,3,3,8,7,7
19,15,9,4,3,19
16,11,8,6,4,47
2,15,14,6,8,42
1,5,3,9,10,14
5,4,8,1,8,100
5,5,1,1,3,22
5,3,13,7,8,66
19,9,6,5,8,23
10,9,3,8,8,3
2,2,6,8,2,66
16,4,2,3,7,9
13,5,7,8,2,67
16,8,10,7,6,54
16,9,14,4,10,83
6,9,12,9,3,40
5,14,8,3,1,34
8,9,8,5,0,15
6,7,2,7,6,61
11,11,4,3,8,54
7,12,7,1,5,73
2,15,4,3,1,40
6,13,2,3,5,64
16,12,13,4,3,57
11,6,14,8,3,15
14,12,4,7,3,98
16,2,1,7,5,22
14,7,10,9,0,12
12,9,2,10,9,74
18,3,12,9,10,18
8,10,9,9,2,62
12,3,8,4,6,33
7,8,14,2,10,29
16,14,11,9,2,59
2,4,15,8,6,32
8,9,8,2,7,41
9,12,8,2,5,9
5,13,8,6,3,66
13,13,4,9,0,14
12,14,11,3,5,50
17,10,5,9,8,33
13,5,3,3,1,44
12,4,3,2,8,71
7,5,13,8,5,47
6,15,2,8,6,95
5,12,7,7,6,83
1,10,5,1,9,54
16,13,12,10,7,94
2,15,6,3,2,14
3,12,6,4,10,46
19,6,9,1,0,10
2,9,4,10,7,98
11,6,6,9,8,32
9,8,2,7,7,77
3,13,5,1,7,13
15,12,5,10,0,55
1,14,1,8,9,55
7,5,3,8,1,90
17,5,1,2,2,19
14,10,4,7,2,61
2,9,6,5,4,63
2,12,1,1,8,58
16,2,12,9,10,75
3,9,2,8,8,54
2,10,4,9,4,84
14,1,1,8,0,23
12,12,4,7,3,21
11,10,5,7,5,16
4,5,3,6,6,42
6,2,12,8,5,83
4,5,5,2,5,3
4,15,8,2,9,27
4,14,12,10,7,49
13,2,2,8,9,16
2,8,1,2,2,26
16,12,10,8,1,54
6,4,15,9,0,95
2,9,5,6,5,60
6,12,8,6,10,96
5,5,15,1,10,79
8,11,12,6,4,1
1,7,7,2,4,92
5,13,7,8,1,93
15,1,8,2,9,96
9,1,11,9,9,61
19,7,15,7,6,86
19,14,8,4,6,11
7,10,7,6,7,43
6,14,14,5,8,27
17,11,2,7,8,25
7,8,13,1,9,100
4,4,7,6,8,13
8,7,13,9,9,96
17,4,7,9,7,21
3,2,2,10,1,26
15,3,1,2,3,76
15,2,1,7,7,21
3,8,9,3,10,3
14,9,6,1,2,46
6,4,14,4,9,38
15,3,12,3,10,78
7,7,13,10,10,95
2,6,13,1,7,47
1,2,13,6,10,77
8,6,3,9,8,97
2,3,5,2,0,52
1,12,12,10,5,36
1,2,8,2,10,5
10,15,7,7,2,6
11,10,11,6,9,99
2,2,4,2,3,79
18,15,6,5,2,64
10,5,10,10,7,87
18,5,7,4,1,13
5,3,8,9,7,28
13,5,11,10,5,79
3,13,3,8,5,66
19,6,9,7,3,70
6,1,15,8,8,93
9,13,9,9,1,23
13,15,3,2,3,4
18,6,3,4,7,1
18,14,2,8,6,24
6,5,13,8,2,79
10,8,3,1,2,54
2,5,6,5,8,8
3,2,15,2,9,24
15,10,7,2,8,25
1,4,14,9,9,4
1,12,13,5,8,41
17,10,3,10,0,70
3,14,2,2,4,15
4,7,2,6,0,30
17,7,3,3,1,21
11,11,3,10,5,32
14,8,3,6,10,88
17,5,12,4,5,84
1,5,12,5,4,45
2,7,4,3,3,87
17,5,7,7,10,10
7,4,10,1,1,64
8,11,5,5,7,32
18,2,10,6,0,57
8,11,5,5,4,71
16,13,5,5,6,62
1,1,10,10,10,8
7,1,6,3,5,30
3,8,15,5,4,3
5,12,13,7,3,16
17,11,7,9,2,50
15,8,7,7,2,56
16,3,9,5,10,54
16,7,5,5,6,4
15,13,13,6,7,44
9,1,11,6,9,54
14,9,1,5,1,56
3,14,13,5,10,74
1,15,6,7,4,80
18,9,2,3,7,67
11,15,9,6,7,35
10,14,3,2,0,28
3,12,7,9,7,70
4,2,9,10,7,92
14,14,6,2,5,87
13,4,4,2,4,34
17,4,13,7,1,98
19,8,2,4,1,77
12,4,11,2,7,14
11,12,12,2,8,30
11,7,8,7,6,84
3,14,3,10,4,15
3,4,6,7,6,40
12,13,6,4,0,91
17,15,2,1,4,37
8,3,7,3,2,19
15,10,2,7,9,84
2,7,4,1,3,20
12,8,1,10,2,53
6,6,14,7,10,2
8,13,1,2,9,14
1,11,1,8,9,19
19,5,3,3,2,71
3,13,12,8,8,58
17,11,15,4,6,18
10,5,1,5,7,27
15,11,1,6,0,34
7,4,6,4,6,75
14,12,11,10,0,11
11,4,8,2,4,83
3,2,10,1,7,14
6,7,1,7,0,1
12,4,7,9,0,40
15,10,13,2,10,50
5,4,9,3,9,30
7,13,15,6,9,41
9,3,9,7,4,64
19,15,6,8,10,88
12,7,5,1,1,32
17,13,10,6,5,40
12,9,4,3,6,14
11,1,14,3,8,8
5,5,2,10,5,41
6,14,8,2,3,37
7,5,15,7,3,33
1,7,10,6,4,40
18,3,8,5,10,93
6,5,15,5,9,69
10,10,5,4,7,34
7,7,12,10,3,14
19,3,2,4,0,28
18,12,14,10,5,36
4,1,8,8,5,16
14,10,5,3,8,11
4,3,2,10,5,42
10,15,5,4,10,53
5,13,13,5,5,51
11,9,7,8,3,73
7,12,14,9,3,31
11,13,9,1,7,13
8,15,4,4,7,56
13,2,15,3,8,69
4,8,6,8,2,16
17,7,10,5,7,95
4,14,8,1,2,75
13,2,7,10,9,38
10,7,5,1,9,48
4,10,3,10,1,49
3,11,15,8,9,62
8,2,11,5,4,96
2,7,8,5,3,18
19,6,1,1,8,62
19,9,10,2,5,84
17,3,11,2,6,55
9,5,5,9,6,34
19,3,15,4,6,64
17,12,7,3,5,9
2,6,4,4,9,56
17,14,8,3,7,2
1,10,7,2,5,92
12,14,7,10,5,15
12,14,12,8,3,35
12,1,13,5,4,55
11,3,9,8,5,21
9,5,1,6,8,9
19,3,3,7,5,47
14,9,10,6,8,79
8,15,15,9,5,23
14,8,13,7,10,68
7,12,9,4,3,13
16,9,1,6,4,51
15,14,6,3,7,86
9,13,13,8,9,10
1,12,14,6,9,100
1,8,9,7,0,53
13,7,12,9,2,3
13,13,3,2,8,32
4,15,15,10,0,8
11,4,12,7,5,19
17,12,12,5,3,34
6,2,12,7,7,84
15,15,6,4,9,57
16,4,2,3,0,64
10,4,1,3,9,27
16,14,7,6,5,96
18,9,10,6,8,1
7,13,9,7,5,83
15,10,15,8,7,45
4,14,2,7,3,2
16,9,15,10,1,31
18,3,10,1,0,67
19,7,5,8,3,78
17,11,5,8,4,75
4,9,13,1,4,19
10,11,15,4,7,81
12,2,2,6,10,13
14,8,14,1,3,26
1,6,7,6,10,94
5,14,13,6,10,88
17,3,6,6,0,72
3,11,2,4,3,86
12,3,14,8,10,98
15,12,8,8,3,6
8,5,13,3,0,53
19,1,6,8,6,73
14,4,13,8,1,6
6,2,14,10,3,10
19,14,15,6,9,42
12,10,14,4,1,56
16,1,13,9,8,34
1,7,1,7,10,58
14,6,6,3,4,70
8,5,11,6,6,4
18,9,6,3,7,13
8,3,15,2,6,17
5,5,2,3,1,30
9,4,7,4,6,9
18,14,9,8,2,59
8,5,3,8,10,35
7,1,10,4,7,9
13,11,2,10,2,60
3,4,3,7,9,55
7,4,12,4,0,8
13,10,4,9,8,21
11,14,8,6,10,19
17,7,5,10,10,25
13,4,10,8,0,75
11,15,10,3,8,40
4,8,8,8,9,56
11,8,12,6,9,76
7,7,12,3,6,40
8,8,15,10,1,94
2,4,9,8,8,58
18,15,14,5,7,21
4,15,14,1,1,1
10,7,5,8,4,35
16,12,14,2,1,9
1,15,12,2,0,67
2,14,14,9,9,45
6,5,4,1,10,57
6,15,6,9,7,100
9,10,11,5,9,58
1,11,13,3,4,29
7,15,12,6,2,35
16,7,7,6,10,51
14,13,15,9,8,25
16,5,9,4,5,40
4,9,14,1,0,14
14,3,2,6,4,56
2,11,10,10,10,35
11,2,14,8,0,7
19,2,14,9,7,97
16,3,5,5,4,52
16,5,2,1,2,37
11,8,6,5,5,40
16,3,1,2,2,46
12,13,8,7,7,39
5,11,5,2,10,39
11,10,12,3,2,23
6,8,14,3,8,1
4,12,7,6,4,59
4,11,1,4,6,88
9,4,1,5,2,11
6,6,3,1,9,31
15,11,11,9,6,42
12,15,12,4,3,53
11,12,15,5,8,20
19,11,6,3,8,91
12,15,5,5,5,39
7,11,8,8,5,49
3,1,2,9,2,56
15,8,3,3,9,74
13,13,11,2,2,78
19,13,1,10,0,36
9,3,13,2,10,84
16,14,3,8,5,100
16,2,11,6,5,61
7,14,2,2,2,91
16,3,2,10,8,4
16,4,11,6,7,6
6,2,14,3,5,65
16,11,11,10,6,1
10,3,15,2,0,50
4,11,15,3,9,82
2,4,5,1,4,56
14,9,14,8,2,46
1,14,14,8,5,37
4,9,13,1,4,79
12,10,8,9,5,87
16,10,11,6,3,100
2,6,7,8,3,28
1,5,3,10,3,99
8,11,10,7,2,23
8,13,14,6,0,27
10,2,2,10,4,71
9,3,9,8,6,33
14,8,10,5,7,69
3,11,4,5,8,45
13,15,8,10,0,3
12,6,10,4,3,51
6,7,11,6,3,55
11,12,14,2,2,62
18,10,10,2,4,43
18,11,8,6,4,4
8,13,10,4,9,76
4,4,6,9,10,73
5,7,14,5,3,55
16,9,13,2,0,6
2,1,7,10,8,56
17,3,5,4,8,80
9,5,13,10,4,21
5,8,7,3,10,23
11,13,9,1,7,77
12,7,2,10,4,37
10,3,6,7,7,100
8,1,4,1,9,67
8,15,14,5,8,81
4,9,6,7,6,93
4,8,13,6,7,35
11,10,1,2,1,23
13,7,4,8,3,74
9,11,7,8,2,23
16,5,14,9,3,52
17,2,10,5,7,94
15,5,6,10,8,87
7,12,4,10,6,19
14,5,14,9,5,78
19,15,10,8,5,12
16,13,4,8,0,18
17,7,9,5,9,39
19,2,3,8,10,46
15,13,11,6,3,49
4,2,11,5,6,65
4,2,13,4,5,87
14,5,1,5,5,50
11,4,3,2,2,15
